ROI	structure	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
0	Exterior	102.8032	197.9312	251.0586	180.5581	183.483	200.9161	125.7713	180.4084	182.666	207.8839	164.4352	176.9502	154.425	159.2927	200.8994	206.0065	137.4102	147.9367	167.1671	178.5504	172.5415	175.5261	172.3578	151.5394	183.7859	182.553	174.9449	162.4987	131.1661	164.2491	168.1397	139.2999	173.3776	170.3783	168.9576	157.1143	199.7222	194.8945	205.5361	188.2321	172.5205	168.6408	189.6127	171.6128	179.5533	117.2014	110.9251	143.162	210.4324	222.7909	210.4547	192.7743	132.6469
1	Cingulate_Cortex,_Area_24a	128.0719	348.7514	215.4492	153.8939	234.3468	251.1408	121.3575	98.21961	86.31116	196.6328	253.4341	242.1192	191.4662	182.1223	235.8408	181.7415	201.9075	196.0681	201.0696	197.4263	81.23668	151.9088	113.2138	94.29704	149.009	217.3882	156.7025	222.0797	97.13273	182.3654	154.4254	162.5712	223.8109	194.1922	200.4592	169.9385	131.92	228.2896	259.8887	238.6538	269.6628	199.8296	234.7324	266.5812	185.0904	94.62381	67.42651	154.602	254.4807	314.3337	339.3037	322.7115	151.8759
2	Cingulate_Cortex,_Area_24a_prime	176.1766	313.672	167.8415	208.9072	309.7903	103.9019	148.2736	153.0982	114.4389	262.8652	199.1803	155.3326	145.1795	185.4908	190.2971	147.5325	227.317	214.743	266.2312	205.3795	66.36431	227.8385	154.2049	188.7563	208.832	237.8026	204.6532	270.8354	122.4674	232.2599	193.5984	172.6246	156.1543	208.2866	183.6423	184.4825	138.0517	315.4617	337.0215	259.33	277.5017	191.2308	239.4007	262.1551	216.9246	56.45479	52.48382	137.1293	259.3011	267.0695	392.0134	276.231	148.2676
3	Cingulate_Cortex,_Area_24b	112.8598	333.3592	197.0011	229.8379	256.7569	272.065	110.2826	179.9545	141.511	247.2449	212.7476	198.1148	189.122	178.8766	246.1456	231.2414	190.9961	223.4948	176.1288	192.1627	97.81719	182.6378	131.5529	113.8493	184.4074	232.8212	190.5979	243.4119	108.5957	193.4764	164.9632	176.0028	170.1985	173.3638	204.3561	163.5766	144.6668	268.8585	274.2664	256.5862	246.3227	153.134	211.0587	274.3886	206.1431	85.19331	53.56047	120.7301	257.5498	309.6344	369.0459	316.5423	131.2379
4	Cingulate_Cortex,_Area_24b_prime	148.0784	298.9683	159.2607	257.3977	344.7058	171.8938	193.6409	216.7153	194.6059	267.299	219.3033	88.57322	197.7264	183.7967	284.1399	277.4939	228.051	189.5599	202.9937	204.3569	122.5037	244.2105	209.4915	139.3328	254.6719	204.1228	198.8996	246.5247	106.6676	275.1406	207.9491	190.8934	118.6901	226.1289	160.5071	156.4082	319.2641	343.2742	309.4095	318.1866	120.3558	216.4846	228.9718	168.2782	134.7672	79.71786	117.9356	88.73956	298.2487	308.7787	374.8294	314.5821	212.0693
5	Cingulate_Cortex,_Area_29a	107.1004	245.0504	92.90106	299.9612	204.3244	226.3313	132.0426	227.3472	194.9705	295.2162	134.5194	150.3094	156.08	204.1172	185.7308	163.9468	222.3331	239.7331	195.2876	201.3481	244.3219	178.1426	217.0559	151.4499	253.3942	236.5499	241.0788	324.8933	123.948	230.7168	243.2327	205.2552	223.2733	243.4731	218.1165	225.4338	150.8544	312.9061	273.796	292.5785	205.0158	257.6423	278.1545	256.6824	218.8374	99.62425	43.60224	106.5685	129.01	228.7948	312.8829	244.5176	157.3632
6	Cingulate_Cortex,_Area_29b	84.54862	239.0858	244.013	242.2967	303.8817	243.0558	172.5047	221.7685	269.9938	343.644	225.0137	222.1002	191.2453	220.6072	259.0631	296.3139	161.4293	199.8226	307.2317	288.1517	232.3905	227.5092	222.7545	126.5871	292.3077	174.8167	252.7714	281.0324	148.5027	241.4971	236.1211	176.3299	195.7922	148.9563	214.8075	159.925	114.2155	285.434	269.1407	272.8167	190.6197	242.5977	210.7592	273.4774	258.8498	93.69445	23.47022	168.2114	151.8493	300.6134	390.8733	298.584	113.0362
7	Cingulate_Cortex,_Area_29c	106.6043	326.1544	180.1604	235.293	298.6681	239.2974	174.6838	267.0669	211.7325	303.4244	185.5059	144.6415	224.1195	202.0504	249.8884	247.1061	229.5493	169.6653	248.6256	225.0332	230.4378	192.2694	280.7872	134.0932	279.6513	164.6623	232.1622	295.8996	123.0655	227.585	235.0926	173.7082	182.8652	205.1155	191.6691	175.0538	218.9393	392.7784	294.4727	310.7697	159.0768	232.7557	295.4804	230.3167	227.579	85.61366	36.78798	184.1875	277.9976	304.8438	346.0101	331.776	159.8605
8	Cingulate_Cortex,_Area_30	104.4558	265.4589	216.1702	197.8763	338.1557	268.2826	191.6508	231.8217	197.2273	228.1663	226.9159	173.4527	248.6058	207.0345	242.3361	297.8785	183.6335	158.9012	265.6308	211.3985	204.6951	197.1326	239.0577	143.1256	240.8971	160.9094	198.6662	196.7512	152.3667	190.5444	186.5582	132.6345	130.2509	194.3311	187.2178	162.7834	209.8472	244.8354	259.1606	274.7355	237.2112	191.6001	193.1437	248.3509	201.8499	95.72561	72.78968	160.5238	283.5527	320.4638	307.8642	249.1199	147.5686
9	Cingulate_Cortex,_Area_32	156.6811	296.2567	276.3897	211.4113	267.1023	304.2859	158.4007	202.9463	191.7245	241.6848	253.8476	251.7525	281.5151	157.1032	232.6443	260.3472	146.8975	172.6711	176.9529	153.5641	121.8856	157.43	133.1715	133.6805	196.0312	193.6308	159.6442	171.0626	99.44008	146.1094	174.3484	186.8209	199.9981	179.787	200.6902	167.2518	144.8006	204.0924	226.2381	216.5704	191.6519	128.4907	258.9633	228.5147	172.3651	70.18134	66.41357	216.6646	237.3333	339.5882	336.6892	402.7725	127.6183
10	Primary_Auditory_Cortex	101.254	213.5969	275.0735	212.474	183.1965	202.6551	85.66723	78.62401	224.9603	203.757	95.84326	181.1684	100.2759	126.1898	80.87936	142.2005	107.6741	93.92538	274.8378	147.7447	219.1149	291.5642	247.8072	193.2481	204.9194	134.9888	160.9001	183.063	112.7284	139.0865	156.9525	141.2163	153.3581	165.9688	132.8775	173.1598	185.5112	199.2188	214.5432	235.539	216.3201	250.9747	204.2997	221.9651	186.9306	93.41224	103.4281	252.263	253.6958	114.9978	175.0065	250.0698	98.35085
11	Secondary_Auditory_Cortex,_Dorsal_Part	141.1993	253.1131	258.3939	205.3199	233.4814	275.3117	77.77541	83.69528	225.5669	235.3057	178.9908	179.4042	122.7783	174.6786	148.9834	198.6503	109.4447	106.1695	200.9574	140.475	210.1726	265.8569	265.8593	133.6844	213.8381	150.3558	171.7639	215.7544	158.0486	149.2994	158.769	165.0604	118.0796	208.9522	134.9974	168.711	143.1934	185.2309	185.5302	224.5726	206.844	197.7144	230.5357	263.0052	188.4666	79.55537	90.57571	218.5664	316.5084	117.7124	174.7958	236.0508	111.641
12	Secondary_Auditory_Cortex,_Ventral_Part	60.12637	104.6732	283.4113	212.0702	159.7403	194.0755	72.62321	89.8604	221.2696	230.0704	128.1595	163.6675	80.04469	107.1961	40.52642	98.33122	110.6212	126.2362	218.7753	167.2915	229.3941	136.6935	205.3896	162.7326	223.3006	148.656	173.7505	221.1486	94.02717	133.6014	165.0741	148.7233	186.8904	184.8299	149.6072	176.9568	174.9496	216.3549	245.3077	257.2856	218.761	233.7214	237.308	146.9137	234.2327	78.03431	222.0314	257.6447	182.9393	64.45298	203.4427	235.3172	76.75187
13	Dorsolateral_Orbital_Cortex	NaN	150.9756	368.1078	185.9346	225.229	344.3138	107.7398	196.7329	143.9291	240.3637	150.4431	277.2387	110.6344	152.4957	196.7569	172.5899	165.4926	139.7395	84.09701	158.4947	292.4002	185.5708	116.8278	115.7649	199.493	189.584	95.37133	171.1278	97.53013	125.6474	188.6838	180.785	164.5204	220.7224	152.5182	154.4863	105.1445	173.5153	208.578	211.0932	210.52	141.928	206.4219	NaN	143.576	113.2583	NaN	148.4336	169.2709	198.4385	284.5498	298.7693	133.3914
14	Frontal_Cortex,_Area_3	87.69732	112.3225	248.4955	149.1201	263.955	286.4273	124.2951	149.1046	161.865	220.422	137.2552	140.1377	71.56631	151.7385	198.8895	201.3874	118.6669	132.0208	89.30656	143.4565	164.4255	103.4261	147.7288	142.3204	163.3361	145.8872	132.1363	174.6369	72.59228	124.3169	148.0191	182.374	155.2565	126.5388	146.379	139.2421	173.085	202.76	196.0961	201.6265	184.4211	202.1446	126.5318	156.1789	138.1545	66.08965	NaN	161.6308	150.3749	176.9682	252.9866	265.3952	98.85126
15	Frontal_Association_Cortex	NaN	234.4881	229.9693	197.4402	264.1791	210.6193	116.8364	189.2067	157.8948	248.6291	193.2569	183.8348	81.52959	148.088	234.6131	210.0712	119.9315	111.4905	119.8849	161.4527	163.4642	289.3187	124.9281	168.5556	215.3858	184.2009	182.9711	162.9637	133.9885	174.9368	171.5031	187.1271	240.7996	281.125	193.2282	178.876	140.6474	199.8634	254.7126	184.3318	187.5839	130.7711	188.5152	104.9907	155.7203	123.2564	NaN	126.4001	152.3431	107.2099	299.1837	254.1472	91.75654
16	Insular_Cortex	64.60814	165.3728	286.8976	192.0212	360.0957	212.4487	82.12587	171.7505	172.6387	255.4057	214.9651	150.2476	89.23002	110.5766	170.6503	178.5161	201.9267	138.6106	91.25751	233.4865	196.7861	152.9565	132.1717	141.1632	244.015	174.1245	151.979	177.9143	122.3997	157.527	116.3132	166.7951	165.6433	180.0242	201.5486	162.3185	227.2055	179.1193	196.4958	198.9427	195.0204	168.0745	260.0909	149.8535	141.1078	105.8425	156.0647	201.4129	260.549	164.1307	309.8039	226.2391	142.7338
17	Lateral_Orbital_Cortex	77.58387	230.3244	195.2808	253.2798	249.1931	276.1869	135.3059	227.9322	183.5561	253.6424	196.5449	338.8558	85.5377	197.461	277.2375	252.9065	164.3701	153.3487	100.3632	203.3994	150.8647	149.175	133.7307	138.4501	212.2545	149.9505	171.5167	173.6003	147.7853	163.3036	165.2217	127.2117	166.2229	208.8285	173.5654	138.5627	158.5436	181.5083	187.049	170.8527	171.0192	202.3533	165.3966	159.4079	167.1245	104.9781	NaN	160.5734	244.0564	224.3524	297.7956	256.0757	209.3658
18	Lateral_Parietal_Association_Cortex	118.4412	302.4492	242.2785	246.4078	188.9968	365.3245	174.6407	213.7247	196.3789	228.0394	215.3104	227.7087	205.1116	237.9966	272.3277	318.6543	190.3071	185.1048	167.4217	183.4026	183.3707	200.3119	194.9146	104.121	210.1001	193.0218	125.5481	235.9922	151.2366	190.0306	148.9272	112.251	147.1129	270.0732	131.5341	136.4511	201.835	138.8482	177.7983	242.4724	268.6245	201.6034	180.5777	246.7258	160.2655	95.56116	99.23331	264.1003	297.3704	366.4841	294.3055	221.76	129.9132
19	Primary_Motor_Cortex	137.7302	299.1892	164.4901	166.8921	218.5957	240.9697	198.5449	171.4098	159.7554	208.6226	197.8222	174.3014	181.0794	212.2243	255.2674	263.1408	142.6405	114.816	192.2294	131.2682	124.6102	139.071	154.2231	112.5534	178.8299	189.2289	153.5515	196.1827	78.43206	159.0682	153.0809	149.8929	144.4694	173.8602	140.8555	143.3568	173.194	203.0965	204.6799	189.6842	211.5769	190.9582	188.1903	195.7863	187.2885	80.00876	110.8515	132.6843	226.7242	165.5394	279.5457	243.2571	152.3407
20	Secondary_Motor_Cortex	110.2119	313.4236	169.1011	217.9448	277.8	251.9438	139.5554	198.4338	179.9358	242.7735	186.4467	131.3524	209.0535	183.0505	270.6538	327.8456	168.2056	167.8459	201.8268	163.3588	124.4371	205.0501	141.7229	124.466	186.2908	216.9061	144.9947	199.8756	78.55412	174.7115	163.6444	182.9391	164.5362	175.2286	150.8538	142.1774	182.7619	235.0126	221.7085	216.4108	216.3021	179.0981	216.0768	142.528	185.9395	71.5604	134.6204	141.8868	298.0393	221.9368	338.1724	289.8144	168.5177
21	Medial_Orbital_Cortex	NaN	405.8739	310.5588	229.0694	201.0408	282.6244	133.8232	192.4351	187.4757	283.6644	277.4597	403.8361	246.4138	161.2154	289.7556	188.985	162.2711	178.6221	200.5766	212.5188	166.5502	149.8273	121.7566	140.556	193.6338	202.4408	161.6914	190.6723	101.6058	200.8617	205.3479	190.5928	257.4097	218.1714	252.736	197.315	116.0476	213.8362	255.1686	183.8863	206.1167	109.2885	247.9135	NaN	156.5862	82.43349	NaN	155.2773	304.695	428.8268	346.4523	399.5637	186.1549
22	Medial_Parietal_Association_Cortex	84.28334	258.3024	207.5249	248.7064	247.1156	333.0254	212.7672	229.8815	182.3826	219.2514	234.7693	212.3968	258.6159	280.3131	299.9554	321.5683	210.7498	207.4789	294.357	184.2623	195.4871	387.1033	221.4961	64.04815	157.9104	211.216	142.2074	206.2702	158.3944	196.8718	141.1366	141.2968	121.968	236.1507	79.18782	154.2072	311.5008	196.2535	237.6572	245.3348	251.9365	230.1846	154.6773	261.7191	244.5261	100.2165	112.313	201.0701	318.9286	345.4898	299.0927	213.9866	121.9724
