ROI	B51315	B51325	B51732	B51742	B51852	B51861	B51872	B51882	B51813	B51824	B51836	B52233	B52242	B52253	B52264	B52274	B53106	B52711	B52715	B52823	B52824	B52825	B52836	B53041	B53054	B53161	B53183	B53195	B53212	B53233	B53245	B53257	B53269	B53279	B53281	B53291	B55012	B55023	B55034	B55045	B55056	B54611	B54623	B54645	B54751	B49913	B49924	B49935	B49946	B49957	B49968	B49978	B49901
0	0.2829063	0.3387757	0.2535651	0.2442891	0.2399827	0.2359583	0.2680691	0.2682647	0.2740204	0.2520092	0.232926	0.2883322	0.2865945	0.2831066	0.2614107	0.2519671	0.1913711	0.2176099	0.1976701	0.2036075	0.1927163	0.1859137	0.205775	0.1682025	0.1768254	0.1962212	0.1907212	0.1864524	0.1863043	0.1749393	0.1876951	0.1976377	0.1637079	0.2028813	0.1973839	0.1815569	0.2380508	0.184575	0.1908087	0.2360028	0.2106961	0.2912676	0.3403094	0.2985574	0.3609799	0.2369827	0.2859651	0.2794006	0.2802106	0.2790193	0.2291473	0.305065	0.2868294
1	0.5184599	0.6884257	0.4801274	0.569865	0.4822317	0.4982248	0.4776033	0.6450088	0.5406576	0.5192181	0.465565	0.5563138	0.5409696	0.5541694	0.5288472	0.4915693	0.3536358	0.4524598	0.3512818	0.4065799	0.3637867	0.340139	0.3624936	0.3039265	0.2958296	0.384228	0.3705223	0.3564047	0.3441638	0.3527311	0.4629158	0.3325291	0.2924793	0.3365645	0.3231345	0.2901881	0.360513	0.3141743	0.3282896	0.3773662	0.3586887	0.3927501	0.5541681	0.4159274	0.4682876	0.4775706	0.6400491	0.5646495	0.6136284	0.5453769	0.5155203	0.6259311	0.6354572
2	0.6233749	0.7686285	0.570284	0.6760013	0.6418737	0.6304397	0.6555861	0.7405744	0.6308538	0.6400825	0.5929162	0.6801094	0.6369928	0.645595	0.7076315	0.6400599	0.4701477	0.5272608	0.4266183	0.5014768	0.4388191	0.4318234	0.4939749	0.4260418	0.3700241	0.4744589	0.4523906	0.4558727	0.4330924	0.4384149	0.5014792	0.3869669	0.379312	0.3943114	0.3810954	0.3704865	0.4446426	0.438061	0.4532549	0.5026084	0.468801	0.4983945	0.7614722	0.5124033	0.5637708	0.6067022	0.7227812	0.6956564	0.6848578	0.6456321	0.6682025	0.7218465	0.7126342
3	0.5739464	0.7688802	0.5251315	0.6357359	0.5654699	0.5579674	0.5464195	0.7412336	0.5876759	0.5818526	0.5393743	0.6067208	0.6089119	0.6034359	0.5989283	0.5749666	0.4120055	0.5194	0.3849447	0.4633234	0.4091646	0.3913809	0.4059473	0.3334068	0.3290145	0.4329066	0.4112123	0.4047448	0.3878987	0.3965696	0.4981333	0.3707557	0.3387848	0.3797983	0.3673059	0.3233258	0.4160139	0.368929	0.389475	0.4376579	0.4052201	0.4422754	0.6627238	0.4717939	0.5310237	0.5337058	0.7284187	0.6262606	0.6422259	0.6090696	0.5808285	0.7165609	0.7066793
4	0.6888958	0.8153521	0.6148708	0.7430832	0.7146367	0.6623555	0.7170528	0.7957625	0.6887491	0.6847764	0.6635463	0.6662698	0.7062713	0.6922277	0.7657388	0.7105088	0.5254507	0.5765726	0.4389149	0.5376011	0.4695845	0.457295	0.5131366	0.3906732	0.3902649	0.5234509	0.4928862	0.4956712	0.4660646	0.4716133	0.5333193	0.4094015	0.4043075	0.4374407	0.41045	0.4220943	0.4818467	0.4786225	0.5099291	0.5263264	0.5135338	0.5442697	0.8351618	0.5491011	0.5884284	0.6551734	0.7924405	0.690371	0.6858305	0.6921146	0.706513	0.7760882	0.7629811
5	0.7657431	0.8067602	0.6879356	0.6677818	0.7285624	0.6954299	0.7825981	0.7303432	0.6820157	0.6587715	0.6764325	0.7324029	0.7543799	0.7490459	0.7972625	0.7250566	0.5522864	0.525731	0.4874749	0.5418457	0.468858	0.4927137	0.5639343	0.5134847	0.5315199	0.5188532	0.5208578	0.5088366	0.4823309	0.4728943	0.4471263	0.4611537	0.4321602	0.5029427	0.4412285	0.4560735	0.4617079	0.5206451	0.5302314	0.705556	0.5006786	0.511888	0.7823234	0.6074817	0.6721602	0.7240325	0.9389989	0.8223409	0.7731717	0.7211459	0.7589406	0.7626	0.9752125
6	0.7875639	0.8284266	0.7241994	0.6458724	0.7610342	0.6878648	0.7864239	0.6002618	0.6934081	0.6458086	0.7111119	0.7465413	0.8092755	0.8081192	0.8232878	0.7395095	0.5713261	0.5237052	0.4773328	0.518344	0.4596654	0.5074813	0.5453265	0.4389376	0.4272221	0.5422691	0.5432851	0.5155197	0.4968277	0.4797763	0.4511635	0.4950136	0.4298349	0.5556024	0.4730079	0.4942452	0.4440919	0.5431259	0.5496478	0.5724679	0.4862358	0.5160261	0.7775166	0.6548593	0.7157312	0.7282617	0.8789842	0.8700202	0.7918454	0.7710287	0.8103659	0.8036853	0.7894909
7	0.7777311	0.8321013	0.6821386	0.7512522	0.7821743	0.7393575	0.8154302	0.7564464	0.7140665	0.7113566	0.7281834	0.7760597	0.7953451	0.7822285	0.8682769	0.7686519	0.5748855	0.5666576	0.487594	0.5566686	0.4884465	0.5033225	0.5502218	0.4868278	0.4260624	0.5514507	0.5325822	0.5338551	0.503069	0.5058725	0.5262592	0.4692811	0.4427561	0.5020434	0.4405339	0.4797344	0.4841822	0.5428555	0.5443612	0.6040517	0.5385973	0.5426432	0.8434193	0.6266522	0.6734433	0.7414605	0.8338414	0.8389107	0.784269	0.7706374	0.7814368	0.7941783	0.7866377
8	0.7190272	0.7811778	0.6454068	0.6317515	0.7165182	0.6416722	0.7226167	0.5863228	0.6524183	0.6359701	0.6505558	0.7043512	0.7506146	0.7624742	0.77804	0.7026833	0.5320251	0.5134344	0.4315166	0.5090426	0.4363944	0.476668	0.5022479	0.4264543	0.4164941	0.5219639	0.5209798	0.4871669	0.4875987	0.450482	0.4470975	0.4597019	0.4007686	0.5174798	0.4646411	0.4685995	0.4331826	0.4973381	0.5283726	0.521939	0.4630632	0.4942431	0.7233261	0.6107311	0.6567565	0.6273245	0.7784662	0.7584521	0.7187554	0.6930146	0.7244645	0.7183658	0.7061767
9	0.5201597	0.7367374	0.4731195	0.5420099	0.4678475	0.4652897	0.439828	0.6660541	0.5316098	0.502703	0.4540769	0.5955161	0.5718269	0.6028385	0.4873172	0.4635308	0.3410968	0.4579464	0.3419087	0.4018741	0.3501186	0.3435215	0.3501409	0.2931089	0.2998513	0.3737223	0.3714156	0.3353681	0.3329556	0.3373596	0.4516596	0.3496832	0.2713928	0.353397	0.3507556	0.2771126	0.3419548	0.2891061	0.3041275	0.3445498	0.3176137	0.3578337	0.4823742	0.4341297	0.477762	0.4599688	0.6921189	0.5911629	0.6163681	0.5629229	0.5303929	0.6316357	0.6421486
